order,id,date,time,title,url,visitCount,typedCount,transition
0,28412,3/10/2023,18:52:00,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj/related,1,0,link
1,28411,3/10/2023,18:51:54,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,1,0,link
2,28410,3/10/2023,18:51:33,Chrome Web Store - export chrom history,https://chrome.google.com/webstore/search/export%20chrom%20history,1,0,link
3,28409,3/10/2023,18:51:20,Chrome Web Store - export chrom history,https://chrome.google.com/webstore/category/extensions,1,0,link
4,28408,3/10/2023,18:51:11,Buyhatke - Price tracker & Price history - Chrome Web Store,https://chrome.google.com/webstore/detail/buyhatke-price-tracker-pr/ojplmecpdpgccookcobabopnaifgidhf,1,0,link
5,28405,3/10/2023,18:51:07,chorm web store - Google Search,https://www.google.com/search?q=chorm+web+store&rlz=1C1RXQR_enIN970IN970&oq=chorm+web+store&aqs=chrome..69i57j0i10i433i512j0i10i512l3j0i10i131i433i512j0i10i512l4.11102j0j15&sourceid=chrome&ie=UTF-8,2,0,link
6,28405,3/10/2023,18:51:07,chorm web store - Google Search,https://www.google.com/search?q=chorm+web+store&rlz=1C1RXQR_enIN970IN970&oq=chorm+web+store&aqs=chrome..69i57j0i10i433i512j0i10i512l3j0i10i131i433i512j0i10i512l4.11102j0j15&sourceid=chrome&ie=UTF-8,2,0,generated
7,28404,3/9/2023,12:05:03,Try out - Tuple - Viewer Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/viewer/hands-on/lex_auth_01272910070807756894_shared?collectionId=lex_auth_0125409616243425281061_shared&collectionType=Course&pathId=lex_auth_012728436109262848361_shared,1,0,link
8,28402,3/9/2023,12:04:26,Tuple - Viewer Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/viewer/web-module/lex_auth_012649243841306624285_shared?collectionId=lex_auth_0125409616243425281061_shared&collectionType=Course&pathId=lex_auth_012728436109262848361_shared,1,0,link
9,28400,3/9/2023,12:04:02,Variables - Viewer Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/viewer/web-module/lex_auth_012731845976375296169_shared?collectionId=lex_auth_0125409616243425281061_shared&collectionType=Course&pathId=lex_auth_012653494164160512461_shared,1,0,link
10,28398,3/9/2023,12:03:30,Algorithm & its Representation - Viewer Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/viewer/web-module/lex_auth_0126469729654210562410_shared?collectionId=lex_auth_0125409616243425281061_shared&collectionType=Course&pathId=lex_auth_012731259637809152107_shared,1,0,link
11,28396,3/9/2023,12:03:17,What is a program ? - Viewer Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/viewer/web-module/lex_auth_0126440902981222401944_shared?collectionId=lex_auth_0125409616243425281061_shared&collectionType=Course&pathId=lex_auth_0126440988898017281945_shared,2,0,link
12,28395,3/9/2023,12:02:52,The Scenario - TakeOff & Landing - Viewer Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/viewer/web-module/lex_auth_01262731792699392033_shared?collectionId=lex_auth_0125409616243425281061_shared&collectionType=Course&pathId=lex_auth_0126440988898017281945_shared,2,0,link
13,28397,3/9/2023,12:02:46,Why Programming ? - Viewer Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/viewer/web-module/lex_auth_012639904542580736262_shared?collectionId=lex_auth_0125409616243425281061_shared&collectionType=Course&pathId=lex_auth_0126440988898017281945_shared,1,0,link
14,28396,3/9/2023,12:02:30,What is a program ? - Viewer Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/viewer/web-module/lex_auth_0126440902981222401944_shared?collectionId=lex_auth_0125409616243425281061_shared&collectionType=Course&pathId=lex_auth_0126440988898017281945_shared,2,0,link
15,28395,3/9/2023,12:02:23,The Scenario - TakeOff & Landing - Viewer Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/viewer/web-module/lex_auth_01262731792699392033_shared?collectionId=lex_auth_0125409616243425281061_shared&collectionType=Course&pathId=lex_auth_0126440988898017281945_shared,2,0,link
16,28394,3/9/2023,12:01:57,Why Programming ? - Viewer Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/viewer/web-module/lex_auth_012639904542580736262_shared?collectionType=Course&collectionId=lex_auth_0125409616243425281061_shared&pathId=lex_auth_0126440988898017281945_shared,1,0,link
17,28393,3/9/2023,12:01:56,TOC - Programming Fundamentals using Python - Part 1 | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/viewer/mimeType/lex_auth_0125409616243425281061_shared?collectionType=Course,1,0,link
18,28392,3/9/2023,12:01:42,TOC - Programming Fundamentals using Python - Part 1 | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/app/toc/lex_auth_0125409616243425281061_shared/overview,1,0,link
19,28356,3/9/2023,12:00:23,Search Results Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/app/search/learning?lang=en&q=python&f=%7B%22contentType%22:%5B%22Course%22%5D%7D,2,0,link
20,28355,3/9/2023,12:00:23,Search Results Page | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/app/search/learning?lang=en&q=python,2,0,link
21,28354,3/9/2023,12:00:11,Home | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/page/home,12,0,link
22,28292,3/9/2023,12:00:11,Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/login,25,0,link
23,28292,3/9/2023,12:00:09,Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/login,25,0,link
24,28364,3/9/2023,11:56:05,Young Professional | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/page/lex_auth_013723001069821952120,25,0,link
25,28364,3/9/2023,11:54:51,Young Professional | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/page/lex_auth_013723001069821952120,25,0,link
26,28354,3/9/2023,11:54:47,Home | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/page/home,12,0,link
27,28292,3/9/2023,11:54:47,Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/login,25,0,link
28,28292,3/9/2023,11:54:46,Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/login,25,0,link
29,28354,3/9/2023,11:51:26,Home | Infosys Springboard,https://infyspringboard.onwingspan.com/web/en/page/home,12,0,link
