order,id,date,time,title,url,visitCount,typedCount,transition
0,15994,3/9/2023,23:32:09,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj/related?hl=en,1,0,link
1,15993,3/9/2023,23:31:39,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj?hl=en,1,0,link
2,9353,3/9/2023,23:29:31,(1) WhatsApp,https://web.whatsapp.com/,81,28,reload
3,15992,3/9/2023,23:29:14,Meet – oxr-aiks-yss,https://meet.google.com/oxr-aiks-yss,1,0,link
4,15991,3/9/2023,23:29:11,Meet,https://meet.google.com/_meet/oxr-aiks-yss?ijlm=1678384743793&adhoc=1&hs=187,2,0,link
5,15991,3/9/2023,23:29:05,Meet,https://meet.google.com/_meet/oxr-aiks-yss?ijlm=1678384743793&adhoc=1&hs=187,2,0,link
6,8753,3/9/2023,23:28:49,Google Meet,https://meet.google.com/,21,4,link
7,8753,3/9/2023,23:28:46,Google Meet,https://meet.google.com/,21,4,typed
8,15990,3/9/2023,23:25:43,Chrome Web Store - export chrome history,https://chrome.google.com/webstore/search/export%20chrome%20history?hl=en,1,0,link
9,15989,3/9/2023,23:25:17,Chrome Web Store - Extensions,https://chrome.google.com/webstore/category/extensions?hl=en,1,0,link
10,15988,3/9/2023,23:24:55,Chrome Web Store - Extensions,https://chrome.google.com/webstore?hl=en,1,0,link
11,15987,3/9/2023,23:24:38,chrome web store - Google Search,https://www.google.com/search?q=chrome+web+store&rlz=1C1CHBF_enIN855IN855&oq=chrome+w&aqs=chrome.1.69i57j0i433i512j0i131i433i512j0i433i512j0i512j0i131i433i512j0i433i512j69i60.8058j0j7&sourceid=chrome&ie=UTF-8,1,0,generated
12,13353,3/9/2023,23:12:59,https://blue-artist-otcrf.ineuron.app/?folder=/config/workspace,https://blue-artist-otcrf.ineuron.app/?folder=/config/workspace,96,0,reload
13,15812,3/9/2023,23:10:05,(1820) day22 - YouTube,https://www.youtube.com/watch?v=pdEGmIG5iz8,10,0,link
14,15811,3/9/2023,23:09:28,day22 - YouTube,https://www.youtube.com/watch?v=pdEGmIG5iz8&feature=youtu.be,4,0,link
15,15806,3/9/2023,23:05:45,DS_Batch_5th - Google Sheets,https://docs.google.com/spreadsheets/d/1XEQM9DVpP4ylyenHHwRn-Z_0U0JuLnVFUcEoZ2zcnFs/edit#gid=0,5,0,link
16,15805,3/9/2023,23:05:35,DS_Batch_5th - Google Sheets,https://docs.google.com/spreadsheets/d/1XEQM9DVpP4ylyenHHwRn-Z_0U0JuLnVFUcEoZ2zcnFs/edit,4,0,link
17,15804,3/9/2023,23:05:35,DS_Batch_5th - Google Sheets,https://docs.google.com/spreadsheets/d/1XEQM9DVpP4ylyenHHwRn-Z_0U0JuLnVFUcEoZ2zcnFs/edit?usp=sharing,8,0,link
18,15804,3/9/2023,23:05:30,DS_Batch_5th - Google Sheets,https://docs.google.com/spreadsheets/d/1XEQM9DVpP4ylyenHHwRn-Z_0U0JuLnVFUcEoZ2zcnFs/edit?usp=sharing,8,0,link
19,11385,3/9/2023,21:17:55,New chat,https://chat.openai.com/chat,110,56,form_submit
20,11385,3/9/2023,21:17:38,New chat,https://chat.openai.com/chat,110,56,link
21,9353,3/9/2023,21:12:07,(1) WhatsApp,https://web.whatsapp.com/,81,28,reload
22,15830,3/9/2023,20:57:24,Bhavesh124/Flask,https://github.com/Bhavesh124/Flask,6,0,reload
23,15830,3/9/2023,20:56:16,Bhavesh124/Flask,https://github.com/Bhavesh124/Flask,6,0,reload
24,15830,3/9/2023,20:55:38,Bhavesh124/Flask,https://github.com/Bhavesh124/Flask,6,0,reload
25,15986,3/9/2023,20:55:26,flask application · Bhavesh124/Flask@18b48d5,https://github.com/Bhavesh124/Flask/commit/18b48d5022fda4983a09567285bfd3d290819f13,1,0,link
26,15830,3/9/2023,20:55:18,Bhavesh124/Flask,https://github.com/Bhavesh124/Flask,6,0,reload
27,15830,3/9/2023,20:55:11,Bhavesh124/Flask,https://github.com/Bhavesh124/Flask,6,0,reload
28,15830,3/9/2023,20:54:52,Bhavesh124/Flask,https://github.com/Bhavesh124/Flask,6,0,reload
29,10971,3/9/2023,20:54:37,Device Activation,https://github.com/login/device/success,45,0,form_submit
30,10959,3/9/2023,20:54:11,Confirm access,https://github.com/login/device/authorize,69,0,link
31,10959,3/9/2023,20:54:11,Confirm access,https://github.com/login/device/authorize,69,0,link
32,10959,3/9/2023,20:54:11,Confirm access,https://github.com/login/device/authorize,69,0,form_submit
33,10958,3/9/2023,20:54:07,Authorize application,https://github.com/login/device/confirmation,78,0,link
34,10958,3/9/2023,20:54:06,Authorize application,https://github.com/login/device/confirmation,78,0,link
35,10958,3/9/2023,20:54:06,Authorize application,https://github.com/login/device/confirmation,78,0,form_submit
36,10957,3/9/2023,20:54:01,Device Activation,https://github.com/login/device,78,0,link
37,10957,3/9/2023,20:54:01,Device Activation,https://github.com/login/device,78,0,link
38,10957,3/9/2023,20:53:59,Device Activation,https://github.com/login/device,78,0,link
39,15985,3/9/2023,20:37:15,,https://lemon-intern-xagob.ineuron.app/?folder=/config/workspace,2,0,form_submit
40,15983,3/9/2023,20:37:14,Neuro Lab | iNeuron.ai,https://playground.ineuron.app/redirect?slug=lemon-intern-xagob&type=vscode,2,0,link
41,15985,3/9/2023,20:35:53,,https://lemon-intern-xagob.ineuron.app/?folder=/config/workspace,2,0,form_submit
42,15983,3/9/2023,20:35:51,Neuro Lab | iNeuron.ai,https://playground.ineuron.app/redirect?slug=lemon-intern-xagob&type=vscode,2,0,link
43,10687,3/9/2023,20:35:44,Neuro Lab | iNeuron.ai,https://neurolab.ineuron.ai/my-labs,179,0,link
44,15830,3/9/2023,20:34:39,Bhavesh124/Flask,https://github.com/Bhavesh124/Flask,6,0,link
45,15830,3/9/2023,20:34:39,Bhavesh124/Flask,https://github.com/Bhavesh124/Flask,6,0,link
46,15830,3/9/2023,20:34:38,Bhavesh124/Flask,https://github.com/Bhavesh124/Flask,6,0,link
47,7898,3/9/2023,20:34:37,Your Repositories,https://github.com/Bhavesh124?tab=repositories,188,5,link
48,7898,3/9/2023,20:34:37,Your Repositories,https://github.com/Bhavesh124?tab=repositories,188,5,link
49,7898,3/9/2023,20:34:30,Your Repositories,https://github.com/Bhavesh124?tab=repositories,188,5,link
50,7898,3/9/2023,20:34:30,Your Repositories,https://github.com/Bhavesh124?tab=repositories,188,5,link
51,15798,3/9/2023,20:34:29,Bhavesh124 (Bhavesh Chavan),https://github.com/Bhavesh124,16,4,link
52,15798,3/9/2023,20:34:27,Bhavesh124 (Bhavesh Chavan),https://github.com/Bhavesh124,16,4,link
53,15798,3/9/2023,20:34:27,Bhavesh124 (Bhavesh Chavan),https://github.com/Bhavesh124,16,4,link
54,15798,3/9/2023,20:34:26,Bhavesh124 (Bhavesh Chavan),https://github.com/Bhavesh124,16,4,typed
55,13467,3/9/2023,20:34:19,Bhavesh124/Medical_Insurance,https://github.com/Bhavesh124/Medical_Insurance,88,10,link
56,13467,3/9/2023,20:34:18,Bhavesh124/Medical_Insurance,https://github.com/Bhavesh124/Medical_Insurance,88,10,link
57,13467,3/9/2023,20:34:14,Bhavesh124/Medical_Insurance,https://github.com/Bhavesh124/Medical_Insurance,88,10,typed
58,9353,3/9/2023,20:27:13,(1) WhatsApp,https://web.whatsapp.com/,81,28,reload
59,10686,3/9/2023,20:24:28,Neuro Lab | iNeuron.ai,https://neurolab.ineuron.ai/lab-templates,22,0,link
60,13353,3/9/2023,20:19:25,https://blue-artist-otcrf.ineuron.app/?folder=/config/workspace,https://blue-artist-otcrf.ineuron.app/?folder=/config/workspace,96,0,form_submit
61,13351,3/9/2023,20:19:20,Neuro Lab | iNeuron.ai,https://playground.ineuron.app/redirect?slug=blue-artist-otcrf&type=vscode,83,0,link
62,10687,3/9/2023,20:18:53,Neuro Lab | iNeuron.ai,https://neurolab.ineuron.ai/my-labs,179,0,link
63,15980,3/9/2023,20:18:51,Neuro Lab | iNeuron.ai,https://neurolab.ineuron.ai/?redirectUrl=/my-labs&code=2715242e-edef-48c3-bc1a-42acc736facb,1,0,link
64,10727,3/9/2023,20:18:48,Sign In | iNeuron.ai,https://account.ineuron.ai/signin?domain=neurolab.ineuron.ai&redirectUrl=/my-labs,64,0,link
65,10687,3/9/2023,20:18:46,Neuro Lab | iNeuron.ai,https://neurolab.ineuron.ai/my-labs,179,0,link
66,10683,3/9/2023,20:18:32,Neuro Lab | iNeuron.ai,https://neurolab.ineuron.ai/,189,1,link
67,10683,3/9/2023,20:18:27,Neuro Lab | iNeuron.ai,https://neurolab.ineuron.ai/,189,1,link
68,8585,3/9/2023,20:16:34,FULL STACK DATA SCIENCE | iNeuron.ai,https://ineuron.ai/category/FULL-STACK-DATA-SCIENCE,101,63,link
69,15979,3/9/2023,20:16:30,,https://ineuron.ai/redirect?redirectUrl=%2Fcategory%2FFULL-STACK-DATA-SCIENCE&code=d1a1caa2-1b48-4fff-8d8d-4641016c10db,1,0,link
70,15977,3/9/2023,20:16:25,https://accounts.google.com/o/oauth2/auth?redirect_uri=storagerelay%3A%2F%2Fhttps%2Faccount.ineuron.ai%3Fid%3Dauth167705&response_type=permission id_token&scope=email profile openid&openid.realm=&include_granted_scopes=true&client_id=873754397243-ea1pl8625494g9o9qk0p579l4f8c4omr.apps.googleusercontent.com&ss_domain=https%3A%2F%2Faccount.ineuron.ai&prompt=&fetch_basic_profile=true&gsiwebsdk=2,https://accounts.google.com/o/oauth2/auth?redirect_uri=storagerelay%3A%2F%2Fhttps%2Faccount.ineuron.ai%3Fid%3Dauth167705&response_type=permission%20id_token&scope=email%20profile%20openid&openid.realm=&include_granted_scopes=true&client_id=873754397243-ea1pl8625494g9o9qk0p579l4f8c4omr.apps.googleusercontent.com&ss_domain=https%3A%2F%2Faccount.ineuron.ai&prompt=&fetch_basic_profile=true&gsiwebsdk=2,2,0,link
71,15977,3/9/2023,20:16:23,https://accounts.google.com/o/oauth2/auth?redirect_uri=storagerelay%3A%2F%2Fhttps%2Faccount.ineuron.ai%3Fid%3Dauth167705&response_type=permission id_token&scope=email profile openid&openid.realm=&include_granted_scopes=true&client_id=873754397243-ea1pl8625494g9o9qk0p579l4f8c4omr.apps.googleusercontent.com&ss_domain=https%3A%2F%2Faccount.ineuron.ai&prompt=&fetch_basic_profile=true&gsiwebsdk=2,https://accounts.google.com/o/oauth2/auth?redirect_uri=storagerelay%3A%2F%2Fhttps%2Faccount.ineuron.ai%3Fid%3Dauth167705&response_type=permission%20id_token&scope=email%20profile%20openid&openid.realm=&include_granted_scopes=true&client_id=873754397243-ea1pl8625494g9o9qk0p579l4f8c4omr.apps.googleusercontent.com&ss_domain=https%3A%2F%2Faccount.ineuron.ai&prompt=&fetch_basic_profile=true&gsiwebsdk=2,2,0,link
72,8586,3/9/2023,20:15:40,Sign In | iNeuron.ai,https://account.ineuron.ai/signin?domain=ineuron.ai&redirectUrl=%2Fcategory%2FFULL-STACK-DATA-SCIENCE,32,0,link
73,8585,3/9/2023,20:15:17,FULL STACK DATA SCIENCE | iNeuron.ai,https://ineuron.ai/category/FULL-STACK-DATA-SCIENCE,101,63,link
74,8585,3/9/2023,20:15:06,FULL STACK DATA SCIENCE | iNeuron.ai,https://ineuron.ai/category/FULL-STACK-DATA-SCIENCE,101,63,reload
75,15976,3/9/2023,20:08:05,Meet,https://meet.google.com/zoy-bces-puj,2,0,link
76,15976,3/9/2023,20:08:03,Meet,https://meet.google.com/zoy-bces-puj,2,0,link
77,9353,3/9/2023,20:05:45,(1) WhatsApp,https://web.whatsapp.com/,81,28,typed
78,15975,3/9/2023,19:11:52,Fraud_Detection/ETHEREUM_Fraud_Detection.ipynb at main · subhashdixit/Fraud_Detection,https://github.com/subhashdixit/Fraud_Detection/blob/main/Ethereum_Fraud_Detection/ETHEREUM_Fraud_Detection.ipynb,2,0,link
79,15975,3/9/2023,19:11:52,Fraud_Detection/ETHEREUM_Fraud_Detection.ipynb at main · subhashdixit/Fraud_Detection,https://github.com/subhashdixit/Fraud_Detection/blob/main/Ethereum_Fraud_Detection/ETHEREUM_Fraud_Detection.ipynb,2,0,link
80,15974,3/9/2023,19:11:52,Fraud_Detection/Ethereum_Fraud_Detection at main · subhashdixit/Fraud_Detection,https://github.com/subhashdixit/Fraud_Detection/tree/main/Ethereum_Fraud_Detection,3,0,link
81,15974,3/9/2023,19:11:44,Fraud_Detection/Ethereum_Fraud_Detection at main · subhashdixit/Fraud_Detection,https://github.com/subhashdixit/Fraud_Detection/tree/main/Ethereum_Fraud_Detection,3,0,link
82,15974,3/9/2023,19:11:44,Fraud_Detection/Ethereum_Fraud_Detection at main · subhashdixit/Fraud_Detection,https://github.com/subhashdixit/Fraud_Detection/tree/main/Ethereum_Fraud_Detection,3,0,link
83,15973,3/9/2023,19:11:44,subhashdixit/Fraud_Detection,https://github.com/subhashdixit/Fraud_Detection,4,0,link
84,15973,3/9/2023,19:11:39,subhashdixit/Fraud_Detection,https://github.com/subhashdixit/Fraud_Detection,4,0,link
85,15973,3/9/2023,19:11:39,subhashdixit/Fraud_Detection,https://github.com/subhashdixit/Fraud_Detection,4,0,link
86,15973,3/9/2023,19:11:39,subhashdixit/Fraud_Detection,https://github.com/subhashdixit/Fraud_Detection,4,0,link
87,14348,3/9/2023,19:11:33,subhashdixit (subhashdixit) / Repositories,https://github.com/subhashdixit?tab=repositories,9,0,link
88,14349,3/9/2023,19:11:31,subhashdixit/Streamlit_Tutorial: Streamlit Complete Tutorial,https://github.com/subhashdixit/Streamlit_Tutorial,9,0,link
89,15972,3/9/2023,19:11:10,Streamlit_Tutorial/app.py at main · subhashdixit/Streamlit_Tutorial,https://github.com/subhashdixit/Streamlit_Tutorial/blob/main/app.py,2,0,link
90,15972,3/9/2023,19:11:09,Streamlit_Tutorial/app.py at main · subhashdixit/Streamlit_Tutorial,https://github.com/subhashdixit/Streamlit_Tutorial/blob/main/app.py,2,0,link
91,14349,3/9/2023,19:11:09,subhashdixit/Streamlit_Tutorial: Streamlit Complete Tutorial,https://github.com/subhashdixit/Streamlit_Tutorial,9,0,link
92,14349,3/9/2023,19:11:03,subhashdixit/Streamlit_Tutorial: Streamlit Complete Tutorial,https://github.com/subhashdixit/Streamlit_Tutorial,9,0,link
93,14349,3/9/2023,19:11:02,subhashdixit/Streamlit_Tutorial: Streamlit Complete Tutorial,https://github.com/subhashdixit/Streamlit_Tutorial,9,0,link
94,14349,3/9/2023,19:11:02,subhashdixit/Streamlit_Tutorial: Streamlit Complete Tutorial,https://github.com/subhashdixit/Streamlit_Tutorial,9,0,link
95,14348,3/9/2023,19:10:49,subhashdixit (subhashdixit) / Repositories,https://github.com/subhashdixit?tab=repositories,9,0,link
96,15970,3/9/2023,19:10:45,subhashdixit/Student_Exam_Performence_End_to_End_Project,https://github.com/subhashdixit/Student_Exam_Performence_End_to_End_Project,5,0,link
97,15971,3/9/2023,19:10:38,Student_Exam_Performence_End_to_End_Project/setup.py at main · subhashdixit/Student_Exam_Performence_End_to_End_Project,https://github.com/subhashdixit/Student_Exam_Performence_End_to_End_Project/blob/main/setup.py,2,0,link
