order,id,date,time,title,url,visitCount,typedCount,transition
0,7390,3/9/2023,23:39:49,Meet - oxr-aiks-yss,https://meet.google.com/oxr-aiks-yss,4,0,link
1,7390,3/9/2023,23:39:46,Meet - oxr-aiks-yss,https://meet.google.com/oxr-aiks-yss,4,0,link
2,7390,3/9/2023,23:31:05,Meet - oxr-aiks-yss,https://meet.google.com/oxr-aiks-yss,4,0,link
3,7390,3/9/2023,23:31:03,Meet - oxr-aiks-yss,https://meet.google.com/oxr-aiks-yss,4,0,link
4,7389,3/9/2023,23:29:21,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,1,0,link
5,7388,3/9/2023,23:29:15,Chrome Web Store - export chrome extension,https://chrome.google.com/webstore/search/export%20chrome%20extension?_category=extensions,1,0,link
6,7387,3/9/2023,23:27:54,Chrome Web Store - export chrome extension,https://chrome.google.com/webstore/search/export%20chrome%20extension,1,0,link
7,5533,3/9/2023,23:27:42,Chrome Web Store - Extensions,https://chrome.google.com/webstore/category/extensions,3,0,link
8,5532,3/9/2023,23:27:40,Chrome Web Store - Extensions,https://chrome.google.com/webstore,3,0,link
9,7386,3/9/2023,23:27:36,chrome web store - Google Search,https://www.google.com/search?q=chrome+web+store&rlz=1C1CHBF_enIN1017IN1017&oq=chrome+web+store&aqs=chrome..69i57j0i512l5j69i60l2.10697j0j7&sourceid=chrome&ie=UTF-8,2,0,link
10,7386,3/9/2023,23:27:35,chrome web store - Google Search,https://www.google.com/search?q=chrome+web+store&rlz=1C1CHBF_enIN1017IN1017&oq=chrome+web+store&aqs=chrome..69i57j0i512l5j69i60l2.10697j0j7&sourceid=chrome&ie=UTF-8,2,0,generated
11,7277,3/9/2023,23:17:31,(8) Project 2: Next word prediction using LSTM | Complete project with source code - YouTube,https://www.youtube.com/watch?v=VB7bbFIEAhk,3,0,link
12,7385,3/9/2023,23:17:16,(8) word prediction - YouTube,https://www.youtube.com/results?search_query=word+prediction,1,0,link
